mal_id,title,score,scored_by,rank,popularity,members,favorites
32937,"Kono Subarashii Sekai ni Shukufuku wo! 2",8.28,831542,253,77,1261638,11028
33206,"Kobayashi-san Chi no Maid Dragon",8,614509,571,103,1040835,15560
32615,"Youjo Senki",7.97,400229,602,174,751100,10096
33487,"Masamune-kun no Revenge",6.76,406074,4870,203,708420,2773
33506,"Ao no Exorcist: Kyoto Fujouou-hen",7.37,342671,2089,230,652946,1457
32949,"Kuzu no Honkai",7.2,274957,2931,272,583081,5637
33489,"Little Witch Academia (TV)",7.84,257213,810,300,554110,6613
33731,"Gabriel DropOut",7.47,202776,1726,432,402605,2930
33988,"Demi-chan wa Kataritai",7.57,189867,1400,477,369818,1397
33743,"Fuuka",6.51,126670,6115,715,261312,812
34096,"Gintama.",8.99,114735,12,734,257231,2422
33836,"Seiren",6.29,74159,7265,927,203996,401
33095,"Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen",8.75,55378,38,1129,164611,2834
34086,"Tales of Zestiria the Cross 2nd Season",7.33,67970,2296,1257,145267,203
33337,"ACCA: 13-ku Kansatsu-ka",7.67,58832,1138,1276,142642,1248
34051,"Akiba's Trip The Animation",6.52,50856,6077,1352,131527,252
30485,"ChäoS;Child",6.34,35823,6999,1444,120636,196
32924,"Urara Meirochou",7.12,34566,3291,1459,118669,395
34392,"One Room",5.56,40514,10286,1551,109945,141
28833,"Chain Chronicle: Haecceitas no Hikari",6.59,34329,5684,1578,107921,159
34126,"Rewrite 2nd Season",7.21,44931,2864,1645,102908,401
32981,"Hand Shakers",5.29,30184,11077,1728,95874,159
33417,"Super Lovers 2",7.18,39823,2989,1961,78858,316
33573,"BanG Dream!",6.97,29904,3909,1995,76902,703
33089,"Kemono Friends",7.54,27928,1530,2032,73933,1022
31783,"Yowamushi Pedal: New Generation",7.66,31587,1165,2133,69257,112
34148,"Nyanko Days",6.61,30384,5611,2224,64602,147
32878,"ēlDLIVE",6.13,14983,8026,2715,44753,47
33019,"Reikenzan: Eichi e no Shikaku",6.89,16291,4287,2854,40794,56
33983,"Onihei",7.31,12721,2375,3026,36991,91
34467,"Yami Shibai 4",5.76,12970,9574,3663,25566,9
31422,"Minami Kamakura Koukou Joshi Jitenshabu",6.29,6164,7249,4169,19080,14
34289,"Schoolgirl Strikers: Animation Channel",5.71,4353,9788,4208,18801,17
33788,"Marginal#4: Kiss kara Tsukuru Big Bang",6.69,4284,5177,4586,15153,83
33447,"Piace: Watashi no Italian",5.87,6421,9203,4610,14979,10
34028,"Idol Jihen",5.67,3526,9928,4864,13074,18
34290,"Kirakira☆Precure A La Mode",7.01,2865,3788,5441,9905,104
34295,"Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends",6.07,3899,8321,5582,9239,13
34088,"Chiruran: Nibun no Ichi",5.64,2864,10027,6196,7242,9
34223,"Forest Fairy Five",3.28,722,12247,8469,3088,2
34738,"Sengoku Choujuu Giga: Otsu",5.88,1313,9153,8769,2769,0
32830,"Chou Shounen Tanteidan Neo",5.16,270,11351,9120,2413,2
34503,"KochinPa! Dainiki",4.6,506,12002,10733,1292,1
34502,"Inazma Delivery",6.32,268,7078,11510,957,2
35156,"High & Low: G-Sword",4.9,218,11769,12359,685,2
34309,"Nananin no Ayakashi: Chimi Chimi Mouryou!! Gendai Monogatari",None,None,12523,12546,633,0
34456,"Sentai Hero Sukiyaki Force: Gunma no Heiwa wo Negau Season",None,None,13404,13091,516,0
34852,"Pikaia!!",None,None,13016,13356,476,2
33473,"Tokyo Futago Athletic",None,None,14121,13402,459,1
34488,"Gan Gan Ganko-chan",None,None,15883,14554,332,0
34794,"Yukai na Animal Bus",None,None,14744,15532,254,1
48344,"Taoleujima Beoseuteo",None,None,13930,18486,54,0
48326,"Geo Mecha: Beast Guardian",None,None,15901,18505,53,0
44151,"Sai Er Hao Season 8: Huanmeng Zhan Ji",None,None,13284,18786,34,0
