mal_id,title,score,scored_by,rank,popularity,members,favorites
38000,"Kimetsu no Yaiba",8.56,1518177,85,10,2274185,74878
38524,"Shingeki no Kyojin Season 3 Part 2",9.09,1182762,3,32,1719164,48366
34134,"One Punch Man 2nd Season",7.45,768374,1816,64,1347338,5293
38680,"Fruits Basket 1st Season",8.22,275375,300,246,622384,11639
38003,"Bungou Stray Dogs 3rd Season",8.21,231939,306,368,461855,3912
36407,"Kenja no Mago",6.6,258495,5667,372,457862,2356
38186,"Bokutachi wa Benkyou ga Dekinai",7.3,183962,2419,489,360497,1468
38472,"Isekai Quartet",7.41,180142,1942,533,334696,956
38759,"Sewayaki Kitsune no Senko-san",7.35,141000,2199,618,295998,1901
37435,"Carole & Tuesday",7.9,114810,703,656,281788,2616
38397,"Nande Koko ni Sensei ga!?",6.5,137899,6162,668,278364,801
38080,"Kono Oto Tomare!",7.9,85350,712,837,223021,1721
38778,"Midara na Ao-chan wa Benkyou ga Dekinai",6.75,105729,4900,852,221235,509
37614,"Hitoribocchi no Marumaru Seikatsu",7.49,79436,1671,1002,185756,1108
38787,"Senryuu Shoujo",7.4,66079,1976,1166,160317,449
39063,"Fairy Gone",5.79,38800,9452,1214,151532,185
37806,"Gunjou no Magmell",6.08,55920,8281,1376,128943,144
34620,"Kono Yo no Hate de Koi wo Utau Shoujo YU-NO",6.57,37206,5804,1395,126389,384
37426,"Sarazanmai",7.51,39395,1617,1480,115913,1233
38731,"Diamond no Ace: Act II",8.25,32498,267,2074,71645,757
38814,"Nobunaga-sensei no Osanazuma",5.29,28545,11088,2115,70007,90
37952,"Shoumetsu Toshi",5.45,13937,10636,2339,59325,48
37964,"Mayonaka no Occult Koumuin",6.72,20181,5076,2395,57171,92
38295,"Joshikausei",5.79,19788,9462,2484,53786,41
39337,"Araiya-san!: Ore to Aitsu ga Onnayu de!?",6.56,15844,None,2847,41145,187
38707,"RobiHachi",6.52,8404,6065,3359,30227,78
37940,"Yatogame-chan Kansatsu Nikki",6.24,11219,7491,3566,27091,13
38091,"Hachigatsu no Cinderella Nine (TV)",6.11,7781,8128,3758,24247,33
38098,"Mix",7.23,7236,2766,4092,19906,50
38004,"Strike Witches: 501 Butai Hasshin Shimasu!",6.56,4411,5842,4479,16213,27
39592,"Mobile Suit Gundam: The Origin - Advent of the Red Comet",8.1,6745,430,4531,15744,76
38268,"Hangyakusei Million Arthur 2nd Season",6.3,3353,7208,4566,15456,13
38226,"Choukadou Girl ⅙",5.98,6123,8755,4583,15253,24
38150,"Namu Amida Butsu!: Rendai Utena",6.07,2516,8327,4823,13302,20
38860,"Bakumatsu: Crisis",5.67,1704,9916,5186,11133,14
39282,"Beyblade Burst Gachi",6.09,2679,8210,6416,6615,34
39622,"Bakugan: Battle Planet",5.46,1826,10589,6835,5572,13
39244,"Cardfight!! Vanguard: Zoku Koukousei-hen",6.3,1850,7200,7293,4795,8
39699,"King of Prism: Shiny Seven Stars",6.43,960,6545,7444,4559,20
39078,"Aikatsu Friends!: Kagayaki no Jewel",7.09,1461,3399,7590,4322,13
38767,"Cinderella Girls Gekijou: Climax Season",6.47,1326,6307,7929,3815,3
39277,"Youkai Watch!",6.26,794,7406,9219,2331,1
38804,"Kiratto Pri☆chan Season 2",7.19,447,2976,9437,2178,22
39668,"Watanuki-san Chi no",5.93,113,8996,9506,2080,3
38881,"Jimoto ga Japan",None,None,16575,10111,1655,4
39572,"Wangu Xian Qiong III: Eren Gu Pian",6.43,141,6567,10713,1283,2
39581,"TV Yarou Nanaana: Wakuwaku Doukutsu Land",6.03,393,8544,10992,1151,3
39039,"Duel Masters!!",None,None,15706,11525,922,2
39457,"Shounen Ashibe: Go! Go! Goma-chan 4",5.88,138,9155,12836,571,0
39031,"B Rappers Street",None,None,15125,12843,567,2
39040,"Kedama no Gonjirou",None,None,16838,13385,460,0
38857,"Neko no Nyagh: Nya Misérables",None,None,12616,14002,377,0
39356,"Neko Neko Nihonshi 4th Season",None,None,12581,14831,320,0
39635,"Daifuku-kun@Kin Tele 2nd Season",None,None,15552,15990,224,0
39798,"Zhu Zhu Xia: Konglong Riji",None,None,14885,16490,198,0
39528,"Washimo 7th Season",None,None,14407,17362,141,0
39664,"Gifu no Tatekayoko",None,None,15959,17547,132,0
48350,"Bbasha Mecard",None,None,15141,18369,69,0
48263,"Synostone",None,None,13835,18421,60,0
