mal_id,title,score,scored_by,rank,popularity,members,favorites
10110,"Mayo Chiki!",7.26,239933,2652,383,442723,1766
10162,"Usagi Drop",8.39,216389,172,387,441218,5769
10161,"No.6",7.57,182523,1416,450,388112,6858
8516,"Baka to Test to Shoukanjuu Ni!",7.71,206978,1043,514,344464,1165
10490,"Blood-C",6.53,131307,6002,571,313314,899
10495,"Yuru Yuri",7.58,135235,1383,574,309614,4292
10721,"Mawaru Penguindrum",7.96,95287,616,677,272815,6843
10379,"Natsume Yuujinchou San",8.58,103924,79,829,224957,1295
10568,"Kamisama no Memochou",7.51,85940,1606,831,222555,762
10321,"Uta no☆Prince-sama♪: Maji Love 1000%",7.05,88154,3630,1003,183579,1519
10049,"Nurarihyon no Mago: Sennen Makyou",7.96,75953,605,1231,149204,606
10278,"The iDOLM@STER",7.61,46437,1301,1283,141331,1561
8915,"Dantalian no Shoka",7.24,51076,2721,1315,136972,492
9750,"Itsuka Tenma no Kuro Usagi",6.55,53325,5909,1412,123550,202
10611,"R-15",6.46,35481,6366,1870,85085,76
10572,"Ro-Kyu-Bu!",6.8,32051,4652,2002,76208,179
10156,"Sacred Seven",6.6,30215,5642,2032,73834,77
10372,"Kamisama Dolls",7.02,28183,3761,2145,68254,85
10465,"Manyuu Hikenchou",6.19,20595,7740,2151,68079,206
9938,"Ikoku Meiro no Croisée The Animation",7.43,21672,1874,2453,54784,160
10197,"Nyanpire The Animation",6.67,13056,5291,3616,26206,78
6920,"Blade",6.22,9928,7596,3672,25416,23
10671,"Morita-san wa Mukuchi.",6.52,9743,6058,3891,22494,14
9934,"Nekogami Yaoyorozu",6.63,5986,5498,4173,19043,21
10838,"Double-J",5.48,4715,10528,5147,11334,9
10217,"Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!",6.05,1969,8425,5973,7881,5
11835,"Qin Shi Ming Yue: Zhu Zi Bai Jia",6.95,284,4014,10865,1210,6
10908,"Kakko Kawaii Sengen! 2",5.76,226,9556,12072,748,3
10847,"Inumarudashi",5.19,142,11272,12319,689,0
10802,"MonHun Nikki Girigiri Airou Mura G",6.04,169,8458,12688,602,0
10797,"Kayoe! Chuugaku",None,None,16815,13562,433,1
11589,"Puu-Neko Shougekijou",None,None,13113,13847,395,0
11609,"Sono Toki, Shimakou ga Ugoita!",None,None,13682,13965,381,0
35920,"Hello Jadoo",None,None,16188,14551,333,0
10995,"Ganbare!! Nattou-san",None,None,15901,15019,285,1
36978,"Annyeong Totobi",None,None,15043,16230,206,0
47992,"Jia You Dou Ding",None,None,16516,18901,30,0
48076,"Hua Huli Yu Daodan Ya",None,None,16327,18917,28,0
