mal_id,title,score,scored_by,rank,popularity,members,favorites
19815,"No Game No Life",8.12,1334865,404,15,2091642,45335
20583,"Haikyuu!!",8.46,981292,130,38,1621022,63774
20899,"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders",8.1,671178,440,116,966654,17722
20785,"Mahouka Koukou no Rettousei",7.45,492752,1810,123,915482,10321
22043,"Fairy Tail (2014)",7.67,437787,1144,142,852638,11029
20787,"Black Bullet",7.12,435471,3303,151,823120,3539
19163,"Date A Live II",7.2,333886,2913,308,543792,2028
21603,"Mekakucity Actors",7.04,184502,3633,420,411192,3564
21405,"Bokura wa Minna Kawai-sou",7.69,174630,1084,510,346154,2029
20853,"Hitsugi no Chaika",7.24,156266,2730,514,345089,779
22135,"Ping Pong the Animation",8.62,150988,68,538,329711,13382
21431,"Gokukoku no Brynhildr",6.88,152332,4326,583,307169,1044
21327,"Isshuukan Friends.",7.55,131439,1477,651,283527,1156
22101,"Soredemo Sekai wa Utsukushii",7.63,122862,1252,693,270276,1788
21939,"Mushishi Zoku Shou",8.71,101250,44,710,262033,1391
21863,"Mangaka-san to Assistant-san to The Animation",7.13,116823,3257,752,249950,410
19429,"Akuma no Riddle",6.62,114624,5552,764,245467,959
19111,"Love Live! School Idol Project 2nd Season",7.78,133086,912,806,232111,2676
21561,"Ryuugajou Nanana no Maizoukin (TV)",7.15,90818,3167,856,219017,331
19775,"Sidonia no Kishi",7.66,100167,1162,887,210958,1367
21273,"Gochuumon wa Usagi Desu ka?",7.5,78713,1651,893,210432,2062
21033,"Seikoku no Dragonar",6.46,95155,6373,963,194426,242
21507,"Soul Eater NOT!",5.91,89091,9066,992,187142,189
19685,"Kanojo ga Flag wo Oraretara",6.4,78984,6728,1050,175819,234
22777,"Dragon Ball Kai (2014)",7.67,87879,1142,1182,156614,619
22273,"Selector Infected WIXOSS",7.24,57251,2704,1305,138595,601
21185,"Baby Steps",7.82,66568,831,1327,134959,805
21563,"Kamigami no Asobi",7.03,57397,3697,1350,131993,707
22547,"Blade & Soul",6.06,49188,8385,1474,116206,126
22507,"Initial D Final Stage",8.25,56482,269,1544,110319,711
22433,"Break Blade",7.26,33428,2626,1850,86355,189
22123,"Inugami-san to Nekoyama-san",6.54,33331,5985,2084,71115,108
21677,"Captain Earth",6.41,22361,6624,2240,63549,82
21809,"Kenzen Robo Daimidaler",6.14,21205,8018,2246,63097,84
21167,"Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi",6.44,21013,6503,2374,57690,66
21639,"Yu☆Gi☆Oh! Arc-V",6.71,23786,5117,2458,54741,440
23133,"M3: Sono Kuroki Hagane",6.59,15779,5698,2470,54049,79
20971,"Kiniro no Corda: Blue♪Sky",6.41,9022,6645,3695,25036,33
21821,"Fuuun Ishin Dai☆Shogun",5.7,7688,9824,3717,24774,20
22817,"Kindaichi Shounen no Jikenbo Returns",7.53,6031,1549,4446,16578,56
21421,"Mahou Shoujo Taisen",5.76,4864,9597,4488,16062,5
21729,"Cardfight!! Vanguard: Legion Mate-hen",6.73,6859,4982,4730,14060,33
23539,"Gudetama",7.04,2002,3659,5292,10591,55
22693,"Lady Jewelpet",7.41,2648,1945,5535,9428,73
21835,"Majin Bone",6.64,2271,5465,5610,9124,27
22831,"Abarenbou Rikishi!! Matsutarou",6.06,3117,8376,5776,8594,11
21671,"Keroro",6.86,3113,4403,5856,8277,27
21013,"Marvel Disk Wars: The Avengers",5.81,1747,9387,5993,7810,17
23213,"Kantoku Fuyuki Todoki",5.92,2306,9019,6435,6484,4
22733,"Dragon Collection",6.2,1206,7666,7318,4725,7
23067,"Tenkai Knights",6.36,1549,6903,7778,4021,21
22215,"Pretty Rhythm: All Star Selection",6.46,613,6363,8673,2872,7
22099,"Hero Bank",6,522,8666,8807,2726,10
22735,"Oreca Battle",5.89,521,9098,9171,2358,4
23229,"Meshimase Lodoss-tou Senki: Sorette Oishii no?",5.47,301,10521,9272,2267,3
18205,"World Fool News (TV)",5.94,793,8926,9587,2014,5
28595,"Pac-World",5.27,852,11098,9723,1909,3
23409,"Duel Masters VS",5.83,216,9307,11298,1006,1
23901,"Lovely Movie: Itoshi no Muco Season 2",6.15,158,7929,11925,795,0
22465,"KutsuDaru.",None,None,17141,12757,588,0
23107,"GO-GO Tamagotchi!",None,None,15975,12872,560,2
23555,"Neko no Dayan",None,None,12609,12928,551,1
23737,"Neko Pitcher",None,None,12611,12944,546,1
23511,"Choubakuretsu Ijigen Menko Battle: Gigant Shooter Tsukasa",None,None,15445,13548,436,2
22821,"Himitsukessha Taka no Tsume EX",None,None,16253,13678,418,0
23721,"Carino Coni",None,None,15343,14360,344,0
38363,"Ohayou Hakushon Daimaou",None,None,12781,14509,328,0
31019,"Norasco (TV)",None,None,12704,15005,287,0
29738,"Konchuu Monogatari Tentoumu Chu! to Mitsubachi Hatsu Chu!",None,None,17020,15270,269,0
35605,"Astar-eul Hyanghae Chaguchagu",None,None,15075,15519,257,0
29759,"Korokoro Animal 2",None,None,17053,16765,174,0
48307,"Eungkka Sonata",None,None,15717,18540,47,0
