mal_id,title,score,scored_by,rank,popularity,members,favorites
2904,"Code Geass: Hangyaku no Lelouch R2",8.91,1017263,20,46,1519118,68790
3588,"Soul Eater",7.84,704595,788,54,1422826,23168
3455,"To LOVE-Ru",7.01,278417,3811,292,564636,3772
3457,"Vampire Knight",6.93,314905,4113,306,546868,6997
3470,"Special A",7.52,165670,1573,529,334578,2550
3731,"Itazura na Kiss",7.46,130938,1782,729,256623,2783
3092,"Junjou Romantica",7.55,130512,1479,806,231646,4306
3503,"Kanokon",6.41,106587,6646,821,227303,547
3655,"Nabari no Ou",7.27,59607,2575,1181,156726,1216
3572,"Macross F",7.9,61334,713,1316,136931,1795
3701,"Kaiba",8.15,37383,375,1360,130908,3158
3091,"xxxHOLiC: Kei",8.23,59405,293,1384,127830,528
3972,"Yu☆Gi☆Oh! 5D's",7.41,64985,1968,1435,121387,1309
3230,"Druaga no Tou: The Aegis of Uruk",7.16,46907,3115,1540,110755,191
3358,"Kure-nai",7.36,34780,2166,1868,85000,214
3407,"Blassreiter",6.91,25637,4167,1963,78213,210
3613,"Toshokan Sensou",7.46,24467,1764,2172,67181,378
3841,"Chi's Sweet Home",7.68,21466,1125,2345,58970,414
3656,"Monochrome Factor",6.96,19193,3944,2421,56019,208
3359,"Amatsuki",6.9,24033,4230,2448,55096,123
4038,"Zettai Karen Children",7.32,9980,2326,2779,42663,112
3549,"Allison to Lillia",7.34,13276,2232,2879,40247,166
3616,"Kamen no Maid Guy",7.01,16901,3787,2956,38560,65
4039,"Golgo 13 (TV)",7.53,8960,1543,2989,37816,201
3615,"Neo Angelique Abyss",6.81,13408,4627,3107,35183,111
3673,"Nijuu Mensou no Musume",7.56,10467,1430,3271,32170,158
4080,"Kyou kara Maou! 3rd Series",7.77,11903,924,3317,31066,101
3322,"Wagaya no Oinari-sama.",7.2,10470,2904,3345,30548,76
3627,"D.C.II S.S.: Da Capo II Second Season",7.2,12288,2912,3479,28292,51
3577,"Kyouran Kazoku Nikki",7.27,9376,2568,3534,27395,108
3363,"RD Sennou Chousashitsu",7.11,4889,3353,3758,24199,45
3859,"Top Secret: The Revelation",7.31,3391,2370,4312,17722,67
3840,"Crystal Blaze",6.14,4604,8000,4508,15924,6
4197,"Blue Dragon: Tenkai no Shichi Ryuu",6.53,6654,6004,4512,15894,17
4362,"Fireball",6.65,5195,5379,5518,9484,24
10810,"Pucca 2",6.54,3687,5950,6257,7029,4
4056,"Masuda Kousuke Gekijou Gag Manga Biyori 3",7.09,1149,3416,8902,2643,4
5854,"Shin Chou Kyou Ryo: Condor Hero III",7.28,762,2530,8921,2604,3
10527,"Duel Masters Cross",6.29,718,7231,9553,2042,2
4051,"Net Ghost Pipopa",6.75,556,4898,9758,1889,6
5938,"Onegai♪My Melody Kirara★",6.63,350,5499,9777,1880,3
4383,"Catman Series III",6.32,619,7065,10421,1439,1
4331,"Penguin no Mondai",5.79,148,9435,12278,696,3
3975,"Uchi no 3 Shimai",None,None,14227,12674,601,3
6482,"Sugar Bunnies Chocolate!",None,None,13815,12995,533,1
13177,"Little Charo",None,None,17242,13255,484,0
18937,"Hakken Taiken Daisuki! Shimajirou",None,None,16073,14502,326,1
10706,"Yasai no Yousei: N.Y.Salad 2nd Series",None,None,14646,15171,276,0
29746,"Kaden Manzai John TV Show!",None,None,16664,16347,196,0
35106,"Ninja Tamamaru",None,None,12649,17295,149,0
37941,"Naengjang-go Nala Cocomong",None,None,12517,17451,139,0
38570,"Tatakae! Dokan-kun: Robolympic-hen",None,None,13988,17677,130,0
41160,"Leonardo Hakase to Kirin-mura no Nakama desho",None,None,17215,18228,86,0
