mal_id,title,score,scored_by,rank,popularity,members,favorites
287,"Grappler Baki (TV)",7.45,50852,1798,1672,100814,599
288,"Bakuten Shoot Beyblade",6.74,62444,4947,1684,99933,330
812,"Chikyuu Shoujo Arjuna",6.8,9809,4679,3475,28341,176
764,"Zoids Shinseiki/Zero",7.32,14305,2327,3621,26178,135
764,"Zoids Shinseiki/Zero",7.32,14305,2327,3621,26178,135
352,"Motto! Ojamajo Doremi",7.38,8418,2050,4263,18341,108
445,"Tales of Eternia The Animation",6.2,5855,7690,4502,15995,11
1608,"Salaryman Kintarou",7.45,2721,1819,5732,8727,33
1465,"Hakaima Sadamitsu",6.85,2158,4423,6957,5347,20
1962,"Chikyuu Bouei Kazoku",6.63,468,5469,9869,1827,7
3458,"Pi Po Pa Po Patrol-kun",5.72,106,9722,12936,551,0
34490,"Sushi Azarashi",None,None,13859,15454,255,0
