mal_id,title,score,scored_by,rank,popularity,members,favorites
25777,"Shingeki no Kyojin Season 2",8.49,1477429,118,12,2202011,18991
33486,"Boku no Hero Academia 2nd Season",8.18,1438913,347,14,2123753,17060
34566,"Boruto: Naruto Next Generations",5.88,351040,9168,192,719959,6285
32901,"Eromanga-sensei",6.41,358034,6631,244,627617,2612
32951,"Rokudenashi Majutsu Koushi to Akashic Records",7.16,339002,3085,260,601953,2866
34822,"Tsuki ga Kirei",8.11,210431,426,374,457013,7066
34561,"Re:Creators",7.55,156375,1490,408,423593,3044
32887,"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria",7.05,181868,3586,459,382534,604
33502,"Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?",7.69,159142,1103,527,337168,3876
33475,"Busou Shoujo Machiavellianism",6.91,171291,4168,557,322590,846
32262,"Renai Boukun",6.65,152976,5409,566,317701,580
30727,"Saenai Heroine no Sodatekata ♭",7.78,153182,893,586,307718,1555
34176,"Zero kara Hajimeru Mahou no Sho",7.07,105277,3521,825,227039,492
30736,"Shingeki no Bahamut: Virgin Soul",7.43,76281,1887,879,213821,915
31629,"Granblue Fantasy The Animation",6.65,59627,5383,1071,170267,262
34019,"Tsugumomo",7.05,65216,3628,1121,165631,429
34591,"Natsume Yuujinchou Roku",8.63,55804,64,1169,159404,953
34055,"Berserk 2nd Season",6.58,77902,5753,1234,148790,377
32407,"Clockwork Planet",6.45,53084,6409,1266,143684,378
34494,"Sakura Quest",7.39,37973,2034,1334,134137,469
34102,"Sakurada Reset",7.35,32744,2198,1345,132346,531
33834,"Sin: Nanatsu no Taizai",5.72,39098,9726,1349,132324,268
34262,"Oushitsu Kyoushi Heine",7.47,53634,1735,1413,123744,741
34350,"Alice to Zouroku",7.1,41913,3381,1577,107889,206
33203,"Fukumenkei Noise",6.98,40881,3897,1587,107028,564
32032,"Seikaisuru Kado",6.77,36531,4820,1671,100761,163
32936,"Gin no Guardian",6.23,37773,7531,1685,99923,109
33948,"Hinako Note",6.77,28254,4798,1745,94676,189
35015,"Ani ni Tsukeru Kusuri wa Nai!",7.48,34050,1704,1955,79418,331
34501,"Kenka Banchou Otome: Girl Beats Boys",6.43,30906,6549,2096,70929,175
34076,"Uchouten Kazoku 2",8.11,22536,428,2389,57315,251
34823,"Souryo to Majiwaru Shikiyoku no Yoru ni...",4.65,13988,None,2889,40142,82
34866,"Yu☆Gi☆Oh! VRAINS",6.62,11313,5555,2939,39125,219
34427,"Frame Arms Girl",6.39,8820,6751,3335,30679,45
33371,"Atom: The Beginning",6.83,10003,4511,3452,28771,38
34393,"Room Mate",4.75,8424,11933,3763,24217,37
35069,"Sekai no Yami Zukan",4.68,6376,11956,3976,21278,19
34106,"Kyoukai no Rinne (TV) 3rd Season",7.06,6546,3573,4021,20791,17
33797,"ID-0",6.55,7779,5905,4154,19269,20
33840,"Kabuki-bu!",6.62,4683,5569,4261,18292,20
34550,"Warau Salesman New",6.27,5810,7381,4400,17037,12
34257,"Cinderella Girls Gekijou",6.53,4944,6005,4437,16686,27
33362,"Starmyu 2nd Season",7.31,5548,2385,4560,15451,69
34901,"Beyblade Burst God",6.85,6736,4415,4956,12623,86
33532,"Twin Angel Break",5.93,2704,8997,5046,12068,16
34402,"Love Kome: We Love Rice",4.62,3433,11996,5348,10232,10
34978,"Nobunaga no Shinobi: Ise Kanegasaki-hen",7.13,4677,3259,5450,9835,6
34787,"Idol Time PriPara",7.23,1274,2758,6952,5377,42
34836,"Future Card Buddyfight Battsu",6.45,1384,6434,8229,3445,5
34799,"PriPri Chii-chan!!",6.32,620,7080,8579,2975,6
34052,"100% Pascal-sensei (TV)",5.6,701,10174,9041,2489,5
34888,"Makeruna!! Aku no Gundan!",5.31,686,11022,9954,1765,1
34927,"Rilu Rilu Fairilu: Mahou no Kagami",6.65,143,5411,10215,1593,3
34905,"Duel Masters (2017)",5.72,152,9736,10317,1523,2
36618,"Flowering Heart 2",5.95,286,8871,10431,1439,9
35478,"Neko no Robu",None,None,12628,10989,1147,0
35332,"World Fool News (TV) Part II",5.77,366,9519,11299,1016,1
35516,"Dappys",5.1,161,11473,11332,996,7
35303,"Furusato Meguri: Nippon no Mukashibanashi",6.11,160,8124,11435,959,1
34979,"Shounen Ashibe: Go! Go! Goma-chan 2",5.9,272,9084,11434,957,2
34979,"Shounen Ashibe: Go! Go! Goma-chan 2",5.9,272,9084,11434,957,2
34741,"Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (TV)",6.14,123,8013,11520,924,2
36666,"An Ling Yu Shi Di Qi",5.9,150,9084,11868,811,1
35383,"Yousei Land Mukashibanashi",4.82,254,11838,12146,729,1
34669,"Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao 2nd Season",None,None,15181,12556,639,2
35025,"Eikou Naki Tensai-tachi Kara no Monogatari",None,None,14975,12585,631,1
35302,"Neko Neko Nihonshi 2nd Season",6.2,134,7686,12696,618,1
32596,"The Snack World (TV)",None,None,14052,12822,580,1
35444,"Neko to Mata",None,None,12594,12996,542,0
35517,"Caribadix",None,None,15320,13580,438,0
34928,"Akindo Sei no Little Peso",None,None,14987,13616,425,0
35226,"Akita Kenritsu Iburi Gakkou Chuutou-bu",None,None,14984,13925,388,0
35543,"Turning Mecard W Season 2",None,None,14214,14354,357,3
34891,"Buppu na Mainichi",None,None,15291,14354,349,0
35112,"Panpaka Pants O New-san",None,None,12953,15441,265,0
35372,"Otoppe",None,None,12956,15845,232,0
38526,"Chuldong! Super Wings 2",None,None,15478,16015,220,0
35295,"Washimo 5th Season",None,None,14378,16122,219,0
36002,"Otona no Ikkyuu-san 2nd Season",None,None,12912,16271,210,0
37101,"Xiong Chumo: Xiongxiong Leyuan",None,None,14600,16369,205,0
34990,"Unicorn no Kyupi",None,None,14345,16291,204,0
38131,"Zhu Zhu Xia: Chao Xing Meng Chong",None,None,14876,16385,197,0
40092,"Xiao Hua Xian 3rd Season: Shou Hu Tian Shi",None,None,14527,16672,191,0
36003,"Kimoshiba 2",None,None,16921,16821,179,0
41277,"Rainbow Ruby",None,None,13192,17862,119,0
39140,"Hong Mao Lan Tu: Qi Xia Waizhuan",None,None,16321,17876,111,0
38166,"Malta no Bouken Season 3",None,None,17328,17989,106,0
