mal_id,title,score,scored_by,rank,popularity,members,favorites
40028,"Shingeki no Kyojin: The Final Season",8.88,848238,24,57,1470009,49504
42897,"Horimiya",8.21,490074,307,132,934281,23797
39535,"Mushoku Tensei: Isekai Ittara Honki Dasu",8.37,483724,180,146,847621,19252
39617,"Yakusoku no Neverland 2nd Season",5.4,327556,10781,168,764536,4470
40852,"Dr. Stone: Stone Wars",8.19,371819,332,180,764322,6286
39551,"Tensei shitara Slime Datta Ken 2nd Season",8.41,355522,159,221,678126,9040
42203,"Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2",8.51,335734,105,237,654210,10535
43299,"Wonder Egg Priority",7.8,234745,869,283,594735,8043
39783,"5-toubun no Hanayome ∬",8.14,278137,383,340,522882,9890
40750,"Kaifuku Jutsushi no Yarinaoshi",6.33,221829,7045,405,445016,4685
42923,"SK∞",8.04,182223,503,448,409449,10169
40935,"Beastars 2nd Season",7.89,145741,715,537,342296,1936
41491,"Nanatsu no Taizai: Fundo no Shinpan",6.62,116196,5530,577,321809,1481
37984,"Kumo Desu ga, Nani ka?",7.45,144332,1808,575,311108,3137
40908,"Kemono Jihen",7.43,115337,1876,661,288327,1935
41899,"Ore dake Haireru Kakushi Dungeon",6.3,130811,7173,697,279747,1548
40530,"Jaku-Chara Tomozaki-kun",7.16,119797,3124,731,266814,1574
39586,"Hataraku Saibou!!",7.33,65345,2265,847,221181,507
40594,"Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari",6.34,96116,6983,925,211753,780
41109,"Log Horizon: Entaku Houkai",7.04,53242,3667,975,196682,589
41694,"Hataraku Saibou Black (TV)",7.54,53972,1519,1010,185970,403
38474,"Yuru Camp△ Season 2",8.54,60899,95,1094,168710,2352
40907,"World Trigger 2nd Season",8.09,32434,457,1647,108868,664
41392,"Urasekai Picnic",6.57,27203,5824,1741,97254,450
39808,"Non Non Biyori Nonstop",8.41,30230,157,1768,95633,767
40679,"2.43: Seiin Koukou Danshi Volley-bu",6.15,31962,7903,1758,95269,322
42250,"Bungou Stray Dogs Wan!",7.91,27295,674,1968,81418,778
38853,"Ex-Arm",2.95,15076,12269,2087,71093,284
41762,"Tenchi Souzou Design-bu",7.16,22448,3095,2273,63819,219
42822,"Kai Byoui Ramune",7.17,21782,3035,2435,57271,269
40842,"Idoly Pride",7.46,11817,1781,2642,49631,441
40961,"Hortensia Saga (TV)",5.79,12657,9465,2688,47172,121
46118,"Wave!!: Surfing Yappe!! (TV)",5.84,9597,9285,2876,41594,183
40930,"Azur Lane: Bisoku Zenshin!",7.05,13077,3580,3047,37954,220
40786,"Skate-Leading☆Stars",6.43,9196,6555,3164,34603,129
40964,"Back Arrow",6.32,7884,7100,3216,34061,98
42941,"Uma Musume: Pretty Derby (TV) Season 2",8.01,12048,555,3265,33710,491
44044,"Jimihen!!: Jimiko wo Kaechau Jun Isei Kouyuu!!",6.34,9037,None,3258,32719,350
42825,"Project Scard: Praeter no Kizu",5.84,4783,9279,3519,28424,122
41573,"Majutsushi Orphen Hagure Tabi: Kimluck-hen",6.15,4802,7932,4068,20860,73
39725,"I★Chu: Halfway Through the Idol",6.57,3257,5795,4777,13746,110
41556,"Maiko-san Chi no Makanai-san",6.98,1870,3907,4813,13370,52
32455,"Gekidol: Actidol Project",5.51,3416,10439,4907,12864,23
36458,"Soukou Musume Senki",5.76,2715,9564,4999,12360,30
44208,"Yami Shibai 8",5.71,3960,9804,5178,11687,25
42959,"Yatogame-chan Kansatsu Nikki Sansatsume",6.35,3936,6960,5179,11502,18
44235,"Pui Pui Molcar",8.06,5438,485,5473,10524,189
41520,"Show by Rock!! Stars!!",7.07,2036,3512,5667,9173,42
42506,"World Witches Hasshin Shimasu!",6.39,1927,6784,5683,9075,15
41521,"WIXOSS Diva(A)Live",5.6,2074,10175,5742,8898,18
44191,"Tropical-Rouge! Precure",7.3,1517,2411,5868,8239,102
40957,"Shin Chuuka Ichiban! 2nd Season",6.63,1239,5505,7549,4494,12
45782,"D4DJ Petit Mix",6.9,1285,4235,7910,4332,23
42981,"Idolls!",5.09,1415,11489,7782,4101,10
42653,"Aikatsu Planet!",6.51,575,6099,9090,2495,24
44040,"Abciee Shuugyou Nikki",5.46,963,10585,9255,2348,4
45207,"Okashi na Sabaku no Suna to Manu",5.58,118,10221,10720,1279,6
45596,"Kindan Joshi",None,None,16924,12850,577,4
48495,"Akachan Honbuchou",None,None,14996,16100,229,1
49078,"Xi Yangyang Yu Hui Tailang: Kuang Chu Shengli",None,None,14483,18184,99,0
49920,"Sai Er Hao Season 11: Liekong Canghai",None,None,13240,18607,50,0
44702,"Kintamani Dog",None,None,17007,18853,27,0
