mal_id,title,score,scored_by,rank,popularity,members,favorites
79,"Shuffle!",7.05,122943,3623,721,259433,1413
73,"Full Metal Panic! The Second Raid",7.94,138341,639,775,242827,1234
390,"Suzuka",7.19,49351,2975,1582,107327,610
488,"Ichigo Mashimaro",7.64,30085,1221,1862,85175,764
411,"Gun x Sword",7.27,29290,2558,2094,70713,310
591,"Amaenaide yo!!",6.47,32098,6307,2119,69574,80
490,"Paniponi Dash!",7.44,18349,1835,2386,57215,390
489,"Kamichu!",7.38,15768,2084,2426,55624,230
1642,"Sugar Sugar Rune",7.47,14179,1740,3093,35386,364
291,"D.C.S.S: Da Capo Second Season",6.97,14708,3916,3286,31940,33
470,"Okusama wa Joshikousei (TV)",6.32,9409,7075,3675,25312,32
1374,"Kyoushoku Soukou Guyver (2005)",7.24,8258,2737,4073,20116,136
614,"Okusama wa Mahou Shoujo",6.35,2304,6914,5776,8526,8
473,"Tide-Line Blue",6.63,2648,5515,6319,6818,10
612,"PetoPeto-san",6.52,1974,6061,6499,6381,9
511,"Kidou Shinsengumi Moeyo Ken TV",6.16,1643,7874,6928,5374,3
309,"Akahori Gedou Hour Rabuge",6.16,1283,7874,6972,5303,5
1035,"Patalliro Saiyuuki!",6.54,992,5946,8091,3588,3
3768,"Play Ball",6.02,144,8562,11622,896,0
4314,"Nanami-chan 2nd Series",6.21,193,7647,12920,551,1
9070,"Oden-kun",None,None,12746,14326,343,1
29387,"Momonga-mon",None,None,12405,16145,212,0
48254,"Shadow Fighter",None,None,13375,18631,39,0
