mal_id,title,score,scored_by,rank,popularity,members,favorites
6702,"Fairy Tail",7.59,790859,1344,44,1543741,42896
6045,"Kimi ni Todoke",8,372255,570,164,781906,11054
6213,"Toaru Kagaku no Railgun",7.69,250054,1105,315,537458,5401
5958,"Sora no Otoshimono",7.3,223181,2405,400,434100,3697
6573,"Darker than Black: Ryuusei no Gemini",7.45,213791,1792,458,381774,1430
6205,"Kämpfer",6.4,131235,6733,722,259036,739
6811,"InuYasha: Kanketsu-hen",8.21,121944,308,754,247100,1941
6512,"Nyan Koi!",7.16,124945,3075,770,243456,554
6682,"11eyes",6.1,116010,8181,835,221654,421
7193,"Aoi Bungaku Series",7.71,55898,1042,953,196425,1478
5909,"Seitokai no Ichizon",7.33,75526,2286,1017,180377,683
5940,"Seiken no Blacksmith",6.7,75841,5125,1118,165311,192
5678,"Kobato.",7.96,53294,612,1205,152596,1388
6444,"Tegamibachi",7.63,39488,1252,1524,111941,728
6774,"Kuuchuu Buranko",7.94,21304,641,1902,82980,1157
6586,"Yume-iro Pâtissière",7.84,33671,795,2067,72044,970
6023,"Nogizaka Haruka no Himitsu: Purezza",7.19,37562,2962,2173,67348,86
7082,"Shugo Chara! Party!",6.63,31636,5505,2167,67273,166
6203,"Sasameki Koto",7.07,23345,3509,2190,66492,272
6676,"Asura Cryin' 2",7.27,30644,2543,2345,58973,98
6758,"Tatakau Shisho: The Book of Bantorra",7.22,14320,2796,2348,58844,187
6633,"Queen's Blade: Gyokuza wo Tsugu Mono",6.55,19909,5928,2584,49284,77
6165,"White Album 2nd Season",6.8,18318,4667,2693,45832,56
6112,"Shin Koihime†Musou",6.81,11069,4631,3389,29713,40
4189,"Fuyu no Sonata",7.36,4377,2158,3916,22176,64
6712,"Natsu no Arashi! Akinaichuu",7.29,7102,2477,4187,18971,10
7103,"Miracle☆Train: Oedo-sen e Youkoso",6.48,6185,6261,4243,18476,36
3349,"Kiddy GiRL-AND",6.86,5387,4406,4421,16830,32
6980,"Kaidan Restaurant",7.26,4210,2643,4623,14890,43
7152,"Anyamal Tantei Kiruminzoo",7.1,1433,3382,6155,7329,46
6582,"Tentai Senshi Sunred 2nd Season",7.86,3181,771,6144,7320,25
7176,"Cheburashka Arere?",6.46,1319,6357,8366,3191,2
7723,"Hipira-kun",6.02,1324,8592,8507,3036,1
6901,"Battle Spirits: Shounen Gekiha Dan",6.95,1001,3989,8585,2969,6
6899,"Stitch!: Itazura Alien no Daibouken",6.13,665,8064,9604,2006,4
6900,"Tamagotchi!",6.26,208,7407,10749,1262,9
7175,"Himitsukessha Taka no Tsume Countdown",None,None,16246,13000,532,0
7189,"Kotatsu Neko (TV)",None,None,17057,13276,477,0
7177,"Gokyoudai Monogatari",None,None,15985,13512,439,1
17106,"Wala! Pyeon-uijeom The Animation",None,None,14347,14912,295,0
13505,"Cofun Gal no Coffy Campus Life",None,None,15494,15084,281,0
19457,"Green Saver",None,None,16014,15897,227,1
21019,"Noonbory",None,None,12701,16464,191,1
29433,"Ken to Kaijuu",None,None,16845,16710,178,0
34643,"Kokekkou-san",None,None,17011,17068,165,0
48339,"Kung Fu Gonglyong Suhodae",None,None,17087,18496,53,0
45729,"Xiangpi Ni Xiao Zhen",None,None,14500,18569,46,0
