mal_id,title,score,scored_by,rank,popularity,members,favorites
8074,"Highschool of the Dead",7.09,819640,3408,69,1313396,9012
7724,"Shiki",7.75,225219,967,322,528316,7350
6707,"Kuroshitsuji II",7.17,284361,3042,335,506044,3076
8675,"Seitokai Yakuindomo",7.57,197757,1421,384,442500,3073
8676,"Amagami SS",7.32,138662,2329,528,335286,2070
8086,"Densetsu no Yuusha no Densetsu",7.55,123390,1469,686,270998,1886
7769,"Ookami-san to Shichinin no Nakama-tachi",7.19,118793,2964,733,256288,731
7592,"Nurarihyon no Mago",7.63,104781,1246,760,245781,1236
5277,"Sekirei: Pure Engagement",7.31,121136,2382,857,218967,480
6166,"Asobi ni Iku yo!",6.61,81626,5576,1018,180210,478
7627,"Mitsudomoe",7.56,39002,1427,1703,97997,550
6974,"Seikimatsu Occult Gakuin",7.05,39062,3617,1727,95784,174
6381,"Strike Witches 2",7.3,37176,2407,1965,78112,261
6634,"Sengoku Basara Ni",7.53,30309,1559,2215,64961,161
8624,"Digimon Xros Wars",6.68,21647,5232,2740,43777,93
6979,"Shukufuku no Campanella",6.29,10133,7263,3396,29656,23
8961,"Tono to Issho: Ippunkan Gekijou",6.21,1330,7667,8390,3178,1
10869,"Scan2Go",6.05,1210,8443,8830,2708,9
8964,"Stitch!: Zutto Saikou no Tomodachi",6.04,594,8467,9714,1932,4
9013,"Kuruneko 2nd Season",6.98,364,3895,10641,1312,1
8960,"MonHun Nikki Girigiri Airou Mura: Airou Kiki Ippatsu",6.01,282,8617,10848,1214,0
36993,"Chao Zhi Neng Zu Qiu",6.23,515,7521,10970,1147,6
9345,"Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!",None,None,15874,11743,845,2
38070,"Kkoma Bus Tayo",None,None,16971,15335,267,0
45517,"Kuaile Tuo Mo Ta",None,None,17086,18611,46,0
45540,"Shuimu Juchang Xi You Ji",None,None,13612,18604,44,0
46706,"Tantan Xiao Dongyuan",None,None,13921,18573,44,0
