mal_id,title,score,scored_by,rank,popularity,members,favorites
32935,"Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou",8.8,649336,31,111,990664,13993
32995,"Yuri!!! on Ice",7.91,444716,695,170,755930,18675
32867,"Bungou Stray Dogs 2nd Season",8.2,376526,324,224,668768,5909
31646,"3-gatsu no Lion",8.4,228280,162,274,581528,13638
31339,"Drifters",7.91,228738,675,356,480346,3370
32899,"Watashi ga Motete Dousunda",7.02,183533,3737,458,383891,1647
32686,"Keijo!!!!!!!!",6.96,162868,3981,497,352252,1273
30016,"Nanbaka",7.33,117939,2277,647,285105,1839
33253,"Ajin 2nd Season",7.61,149390,1283,713,261639,480
31988,"Hibike! Euphonium 2",8.3,98308,237,964,194694,2973
32962,"Occultic;Nine",6.91,60201,4188,1020,180184,433
32979,"Flip Flappers",7.66,62715,1172,1063,172254,2011
33433,"Shuumatsu no Izetta",6.76,59454,4841,1140,162404,308
32983,"Natsume Yuujinchou Go",8.58,62105,78,1173,158724,718
32603,"Okusama ga Seitokaichou!+!",6.61,77235,5615,1256,145802,106
33003,"Mahou Shoujo Ikusei Keikaku",6.97,57956,3927,1271,143187,610
33094,"WWW.Working!!",7.43,66330,1894,1287,140953,272
33051,"Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season",8.23,63728,289,1473,116636,1361
32673,"Udon no Kuni no Kiniro Kemari",7.75,44989,972,1477,115859,565
33377,"Trickster: Edogawa Ranpo Shounen Tanteidan yori",6.24,28535,7487,1583,107253,221
32948,"Fune wo Amu",7.63,35363,1234,1625,104456,399
31588,"All Out!!",7.06,40953,3546,1686,99906,326
33985,"Bloodivores",5.49,35115,10492,1724,96287,105
32607,"Gi(a)rlish Number",6.84,32543,4498,1729,95731,153
34034,"Pokemon Sun & Moon",6.81,36646,4628,1813,89309,437
33023,"Touken Ranbu: Hanamaru",6.82,16045,4553,2022,74924,428
33589,"ViVid Strike!",7.03,19137,3715,2041,73394,157
33771,"Cheating Craft",5.41,19928,10744,2279,61645,44
34009,"To Be Hero",6.97,24386,3942,2417,56150,152
32866,"Brave Witches",6.79,17362,4702,2486,53605,117
33197,"Lostorage Incited WIXOSS",6.69,19053,5175,2504,52842,99
33299,"Magic-Kyun! Renaissance",7.02,18032,3768,2597,49124,197
33031,"Shakunetsu no Takkyuu Musume",7.07,16167,3511,2893,40085,139
31178,"Uta no☆Prince-sama♪: Maji Love Legend Star",7.15,12767,3173,3010,37515,210
32555,"Stella no Mahou",6.86,12014,4387,3048,36605,59
33392,"Gakuen Handsome",6.68,17247,5241,3064,36332,257
33244,"Kiitarou Shounen no Youkai Enikki",6.45,8944,6430,3513,27717,33
32038,"Show By Rock!! #",7.04,9213,3641,3526,27563,67
30652,"Long Riders!",6.67,8205,5283,3699,25033,43
33041,"Bubuki Buranki: Hoshi no Kyojin",6.79,10272,4702,3724,24647,22
31157,"ClassicaLoid",6.41,4655,6625,3756,24300,72
33668,"Soushin Shoujo Matoi",6.72,7421,5037,3763,24123,31
33462,"Bernard-jou Iwaku.",5.98,8384,8750,4031,20588,26
33775,"Soul Buster",5.78,5998,9488,4053,20394,12
32829,"Nobunaga no Shinobi",7.06,7999,3526,4055,20383,18
32881,"Tiger Mask W",6.94,5786,4036,4080,20067,62
33814,"Ao Oni The Animation",5.1,8974,11469,4211,18731,21
33419,"12-sai.: Chicchana Mune no Tokimeki 2nd Season",6.6,6761,5646,4567,15426,19
31631,"Monster Hunter Stories: Ride On",6.26,1767,7382,4710,14240,30
33746,"Anitore! XX: Hitotsu Yane no Shita de",5.59,5481,10190,4737,14026,8
33811,"Teekyuu 8",6.62,6753,5537,4845,13141,12
33314,"Digimon Universe: Appli Monsters",6.57,3940,5788,4926,12794,74
33690,"Nazotokine",4.83,3581,11842,4969,12477,3
33795,"Mahou Shoujo Nante Mou Ii Desukara. Second Season",6.07,5860,8320,5088,11828,5
34077,"Cardfight!! Vanguard G: Next",6.6,3490,5654,5696,8841,15
33572,"Idol Memories",5.36,1305,10902,5915,8052,8
33240,"Koneko no Chi: Ponponra Daibouken",6.82,1290,4578,6401,6584,18
33245,"Ame-iro Cocoa in Hawaii",4.75,1804,11918,6569,6173,4
32805,"Nyanbo!",6.34,1799,6959,6634,6043,6
33803,"Sengoku Choujuu Giga: Kou",5.87,2037,9206,6720,5880,6
34013,"Hagane Orchestra",5.52,1377,10392,7319,4728,3
33026,"Time Bokan 24",5.88,779,9157,7502,4450,4
33490,"Kaitou Joker 4th Season",7.31,1511,2366,7943,3802,21
33541,"Bishoujo Yuugi Unit Crane Game Girls Galaxy",4.73,1208,11933,8440,3122,1
33975,"3-Nen D-Gumi Glass no Kamen",4.65,807,11996,9398,2169,3
33434,"Heybot!",5.94,348,8949,9556,2045,22
33933,"Yasamura Yasashi no Yasashii Sekai",None,None,14652,11203,1043,0
34292,"Kamigami no Ki",5.97,153,8796,11780,837,2
34410,"Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao",6.06,116,8380,11942,793,1
32663,"Tama & Friends: Uchi no Tama Shirimasen ka?",6.1,108,8171,12391,673,1
34156,"PePePePengiin",None,None,12999,13284,477,2
34233,"Kimoshiba",None,None,16920,14734,317,0
33727,"Neko no Dayan: Fushigi Gekijou",None,None,12595,15002,289,0
34235,"Pittanko! Nekozakana",None,None,13023,15543,260,0
34234,"Ohayou! Kokekkou-san",None,None,12764,15955,223,0
34207,"Dochamon Junior 2",None,None,15629,16137,211,0
36551,"Lalala Lala-chan: Patapata Daisensou",None,None,17179,16369,198,0
38129,"Zhu Zhu Xia: Meng Xiang Shou Wei Zhe",None,None,14875,16693,186,0
37927,"Nu Sheng Su She Ri Chang",None,None,12695,16654,185,0
48198,"Magic Adventures: The Crystal of Dark",None,None,17269,18556,48,0
