mal_id,title,score,scored_by,rank,popularity,members,favorites
15315,"Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?",7.49,279132,1677,324,522886,3554
14749,"Ore no Kanojo to Osananajimi ga Shuraba Sugiru",6.98,250773,3878,351,484742,1638
14967,"Boku wa Tomodachi ga Sukunai Next",7.33,291743,2257,354,481587,1117
14833,"Maoyuu Maou Yuusha",7.26,189624,2651,412,419415,1250
15051,"Love Live! School Idol Project",7.41,200421,1946,426,406142,7648
16417,"Tamako Market",7.39,145755,2041,483,365004,1379
15379,"Kotoura-san",7.19,157583,2952,591,304114,987
15085,"Amnesia",6.02,130629,8574,691,270547,944
14397,"Chihayafuru 2",8.4,113604,163,898,208850,1553
14811,"GJ-bu",7.32,69094,2344,1156,160395,710
16005,"Zettai Karen Children: The Unlimited - Hyoubu Kyousuke",7.5,54157,1637,1341,133133,372
15119,"Senran Kagura",6.3,34975,7183,1430,122056,241
15751,"Senyuu.",7.31,48569,2383,1559,108802,588
15613,"Hakkenden: Touhou Hakken Ibun",7.41,38770,1939,1603,105554,647
15109,"Cuticle Tantei Inaba",7.27,31871,2550,1750,93879,376
14515,"Sasami-san@Ganbaranai",6.67,24250,5301,1973,77752,135
14355,"Yama no Susume",6.82,24463,4559,2104,70177,136
14283,"Vividred Operation",6.45,24338,6459,2251,62952,90
14511,"Minami-ke Tadaima",7.67,23091,1150,2503,52933,72
17115,"Pokemon Best Wishes! Season 2: Episode N",6.65,21222,5406,2946,38813,29
14941,"AKB0048: Next Stage",7.64,18203,1210,3158,34187,302
14045,"Mangirl!",5.83,12846,9319,3353,30241,18
16169,"Choboraunyopomi Gekijou Ai Mai Mii",5.82,12005,9355,3489,28213,38
14827,"D.C.III: Da Capo III",6.54,10352,5972,3498,28075,36
16419,"Dokidoki! Precure",6.6,9045,5656,3964,21513,127
15611,"Cardfight!! Vanguard: Link Joker-hen",7.14,10150,3205,4085,19961,70
16405,"Boku no Imouto wa Osaka Okan",5.77,7973,9520,4247,18435,6
16317,"Ishida to Asakura",5.88,7452,9177,4795,13471,20
16211,"Bakumatsu Gijinden Roman",6.14,3697,7999,5329,10404,1
17127,"Chokkyuu Hyoudai Robot Anime: Straight Title",5.72,616,9733,9242,2307,4
16726,"gdgd Fairies 2",6.91,1142,4175,9251,2300,19
16347,"Usavich V",6.31,1014,7130,9678,1932,0
16906,"Line Offline: Salaryman",6.54,486,5993,9831,1851,6
17147,"Gakkatsu! 2nd Season",6.39,452,6769,9858,1816,1
15795,"Beast Saga",5.53,305,10360,10387,1459,3
17141,"Kara The Animation",5.3,148,11021,11137,1075,2
31673,"Larva 2nd Season",6.24,580,7518,11200,1045,2
17353,"Tenpou Suikoden Neo",5.03,187,11551,11349,987,2
20755,"Ganbare! Lulu Lolo",None,None,15898,14281,351,0
30119,"Yowamushi Monsters",None,None,14788,14714,314,0
16908,"Ganbare! Oden-kun",None,None,15893,14959,290,2
29421,"Liv & Bell",None,None,17330,15678,245,0
31924,"Monchhichiisu",None,None,12396,16642,181,1
35365,"Kkoma Sinseon Tao 2",None,None,16976,17266,147,1
40670,"Usagi no Mofy (TV)",None,None,14318,17858,120,1
48231,"Ppalgan Jajeongeo",None,None,13055,18408,67,0
48208,"Me & My Robot",None,None,17395,18565,45,0
44144,"Sai Er Hao Season 2: Sheng Zhe Ni Xi",None,None,13278,18669,39,0
