mal_id,title,score,scored_by,rank,popularity,members,favorites
226,"Elfen Lied",7.51,776123,1600,63,1348114,22087
395,"Gantz 2nd Stage",7.05,89546,3587,1238,148078,426
63,"DearS",6.58,73360,5759,1311,137852,324
241,"Girls Bravo: First Season",6.41,64466,6639,1337,133525,271
166,"Samurai 7",7.46,56618,1753,1446,120280,667
75,"Soukyuu no Fafner: Dead Aggressor",7.28,12975,2511,2739,43675,252
229,"Ninin ga Shinobuden",6.9,14304,4214,3273,32122,124
483,"Kurau Phantom Memory",7.32,6939,2352,3480,28291,128
444,"Maria-sama ga Miteru: Haru",7.65,11419,1194,3721,24701,82
525,"Otogizoushi",6.95,3735,4014,4468,16316,42
546,"Wind: A Breath of Heart (TV)",5.94,3574,8925,5259,10753,7
648,"Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary",6.13,2515,8064,6103,7479,5
655,"Galaxy Angel 4",7.21,2854,2836,6150,7350,11
244,"Agatha Christie no Meitantei Poirot to Marple",6.87,1683,4338,6289,6893,19
1377,"Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden",6.67,1184,5308,7771,4044,6
2727,"Sweet Valerian",5.73,872,9713,8764,2774,3
5343,"Monkey Punch: Manga Katsudou Daishashin",6.83,375,4529,9771,1886,6
2741,"Monkey Turn V",6.44,146,6464,12233,710,0
1656,"PostPet Momobin",5.48,119,10512,13624,423,0
29385,"Chii-chan to Hige Ojisan",None,None,15406,16234,207,0
