mal_id,title,score,scored_by,rank,popularity,members,favorites
486,"Kino no Tabi: The Beautiful World",8.3,81123,239,707,265105,6025
26,"Texhnolyze",7.76,45563,937,884,211910,4111
61,"D.N.Angel",7.18,90161,3000,1047,175912,1240
97,"Last Exile",7.81,64266,854,1160,159785,1735
250,"Konjiki no Gash Bell!!",7.54,47276,1531,1541,110565,1076
167,"Scrapped Princess",7.39,34457,2035,1831,87490,407
427,"Kaleido Star",7.92,30404,671,1999,76546,1159
521,"Mermaid Melody Pichi Pichi Pitch",7.09,34671,3415,2116,69775,683
1816,"Sonic X",6.49,37861,6251,2186,66686,440
618,"Juubee Ninpuuchou: Ryuuhougyoku-hen",6.68,15697,5247,3009,37376,73
335,"Matantei Loki Ragnarok",7.27,14543,2572,3066,36072,173
230,"Air Master",6.99,13410,3848,3097,35344,130
407,"Tantei Gakuen Q",7.74,12374,978,3301,31535,222
178,"Ultra Maniac",7.16,12020,3099,3359,30173,109
113,"Uchuu no Stellvia",7.36,8508,2142,3903,22402,116
610,"Popotan",6.28,8670,7281,3909,22291,50
292,"Dear Boys",6.81,8983,4598,4061,20338,42
971,"Astro Boy: Tetsuwan Atom",6.99,8783,3852,4075,20127,96
840,"Narue no Sekai",6.55,6713,5917,4348,17480,22
236,"E's Otherwise",6.62,6225,5559,4566,15391,20
236,"E's Otherwise",6.62,6225,5559,4566,15391,20
271,"Gad Guard",6.67,4031,5269,4921,12757,21
1037,"Saint Beast: Seijuu Kourin-hen",5.99,2405,8716,5788,8529,13
1683,"Di Gi Charat Nyo",7.07,1883,3478,6405,6592,37
684,"Tenshi no Shippo Chu!",6.53,2050,6010,7003,5213,3
1083,"Ningen Kousaten",6.27,703,7323,8180,3462,1
545,"Mousou Kagaku Series: Wandaba Style",6.01,934,8619,8343,3224,2
1713,"Submarine Super 99",6.17,427,7850,10012,1726,1
2382,"Firestorm",5.42,188,10728,10672,1302,1
5071,"Croket!",6.84,276,4487,11266,1017,4
5129,"Jikuu Boukenki Zentrix",6.29,339,7261,11439,950,6
3637,"Bouken Yuuki Pluster World",6.07,185,8313,11695,860,0
2738,"Kasumin 3rd Season",None,None,16882,13161,505,1
2735,"Mugen Senki Portriss",None,None,12467,13521,440,2
12809,"Wonder Bebil-kun",None,None,14437,14954,291,0
20123,"Kappamaki",None,None,16791,15398,263,1
