mal_id,title,score,scored_by,rank,popularity,members,favorites
11757,"Sword Art Online",7.2,1845274,2897,5,2670692,62721
11887,"Kokoro Connect",7.78,373370,911,176,745443,7532
12549,"Dakara Boku wa, H ga Dekinai.",6.58,188799,5760,470,373229,769
13161,"Hagure Yuusha no Aesthetica",6.8,191439,4689,477,369569,1068
12293,"Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou",6.97,189195,3913,507,348603,1209
11933,"Oda Nobuna no Yabou",7.41,132015,1951,698,268610,1079
12175,"Koi to Senkyo to Chocolate",7.03,90015,3699,853,219665,428
13535,"Binbougami ga!",7.7,100872,1074,882,212545,1150
13367,"Kono Naka ni Hitori, Imouto ga Iru!",6.55,90527,5914,974,192081,232
12967,"Arcana Famiglia",6.26,86995,7412,983,189566,317
10357,"Jinrui wa Suitai Shimashita",7.75,54216,956,1056,173019,1865
12403,"Yuru Yuri♪♪",7.84,92125,795,1109,166053,885
12031,"Kingdom",7.99,52761,576,1110,166044,1254
12679,"Joshiraku",7.47,38002,1731,1230,149412,642
13333,"Tari Tari",7.3,52736,2408,1236,148121,518
11783,"Dog Days'",7.04,49594,3657,1719,96277,140
11021,"Muv-Luv Alternative: Total Eclipse",7.1,36821,3361,1827,87825,321
12487,"Kyoukaisenjou no Horizon II",7.51,33905,1611,1987,76896,328
13585,"Natsuyuki Rendezvous",7.27,29973,2577,2014,75419,235
14093,"Pokemon Best Wishes! Season 2",6.4,32775,6678,2383,57498,28
13115,"Hakuouki Reimeiroku",7.45,19980,1801,2491,53398,137
12281,"Rinne no Lagrange Season 2",6.97,11562,3934,3577,26877,17
13349,"Chouyaku Hyakuninisshu: Uta Koi.",7.46,7422,1770,3580,26869,105
13409,"Moyashimon Returns",7.21,11793,2861,3800,23591,17
14277,"Chitose Get You!!",6.22,8479,7597,4158,19241,14
14333,"Tanken Driland",6.53,938,6044,6716,5900,16
14563,"Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo",5.25,1425,11161,7039,5179,3
14693,"Yurumates 3D Plus",6.42,2466,6591,7365,4683,1
36423,"Zhandou Wang Zhi Jufeng Zhan Hun",6.33,307,7071,12198,717,19
15069,"Robin-kun to 100 nin no Otomodachi Season 2",None,None,13212,16291,201,1
48342,"Kijeu CSI",None,None,16861,18455,57,0
