mal_id,title,score,scored_by,rank,popularity,members,favorites
34572,"Black Clover",8.1,471760,435,76,1265635,33990
35788,"Shokugeki no Souma: San no Sara",8.05,498728,497,147,834173,2513
35062,"Mahoutsukai no Yome",8.07,291325,482,172,753159,9545
34618,"Blend S",7.31,311566,2359,287,570954,2775
34542,"Inuyashiki",7.66,256178,1176,314,539429,3224
35557,"Houseki no Kuni (TV)",8.4,156093,165,473,373973,10611
34451,"Kekkai Sensen & Beyond",7.82,161027,842,481,369307,1432
35180,"3-gatsu no Lion 2nd Season",8.96,163194,14,525,337931,13575
35413,"Imouto sae Ireba Ii.",7.32,127668,2347,646,285208,1641
35838,"Shoujo Shuumatsu Ryokou",8.19,100508,340,667,278296,5271
35639,"Just Because!",7.25,103288,2672,717,260754,1191
35076,"Juuni Taisen",6.54,122951,5985,726,257826,573
35712,"Boku no Kanojo ga Majimesugiru Sho-bitch na Ken",6.26,102176,7411,805,232757,372
35376,"Himouto! Umaru-chan R",7.34,108347,2248,836,222219,505
36027,"Ousama Game The Animation",5.02,100317,11594,895,210147,344
34712,"Kujira no Kora wa Sajou ni Utau",7.18,88461,3015,948,199523,869
36220,"Itsudatte Bokura no Koi wa 10 cm Datta.",7.48,74980,1714,993,187862,659
35484,"Osake wa Fuufu ni Natte kara",6.96,84463,3948,1027,179069,319
35079,"Kino no Tabi: The Beautiful World - The Animated Series",7.6,67029,1329,1062,172547,836
33478,"UQ Holder!: Mahou Sensei Negima! 2",6.95,68323,4018,1066,171732,322
35843,"Gintama.: Porori-hen",8.53,80597,97,1126,165137,810
35241,"Konohana Kitan",7.52,40986,1591,1356,131451,596
32271,"Dies Irae",5.38,32825,10850,1400,125015,172
34973,"Love Live! Sunshine!! 2nd Season",7.57,48161,1412,1665,101046,1076
31456,"Code:Realize - Sousei no Himegimi",6.65,21377,5374,2026,74531,244
36245,"Evil or Live",5.8,27584,9426,2071,71760,100
35427,"Animegataris",6.39,25988,6738,2151,68069,93
36144,"Garo: Vanishing Line",7.15,19338,3147,2168,67658,114
36198,"Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji.",5.62,18306,None,2457,54777,123
35067,"Osomatsu-san 2nd Season",7.6,18226,1306,2589,49265,220
35075,"Hoozuki no Reitetsu 2nd Season",7.88,15926,740,2834,41408,96
36259,"Pingu in the City",6.52,15824,6062,2882,40286,744
35251,"Sengoku Night Blood",6.14,9480,7980,2928,39355,130
34284,"Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou",7.67,13409,1156,2941,38909,176
34445,"Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou",7.66,13176,1165,3074,36008,216
35250,"Urahara",5.77,5890,9545,3232,32890,42
36009,"Two Car",5.64,6234,10019,3982,21319,20
34915,"The iDOLM@STER SideM",7.16,5430,3095,4146,19384,115
34474,"Tsukipro The Animation",6.7,3230,5128,4506,15964,98
34522,"Wake Up, Girls! Shin Shou",6.52,3366,6070,5023,12201,18
34903,"RoboMasters the Animated Series",6.38,2374,6793,5073,11874,13
34411,"Taishou Mebiusline: Chicchai-san",4.73,3133,11942,5122,11517,18
34771,"Dynamic Chord",4.64,1286,11997,5635,9000,16
33027,"Infini-T Force",6.44,1744,6511,5886,8175,8
35883,"Cinderella Girls Gekijou 2nd Season",6.62,3071,5558,5892,8154,12
36022,"Cardfight!! Vanguard G: Z",6.5,2703,6187,6395,6636,8
35334,"ClassicaLoid 2nd Season",6.49,1581,6215,6416,6576,12
35999,"Dia Horizon (Kabu)",4.93,189,11731,7161,4973,5
35923,"Ame-iro Cocoa Series: Ame-con!!",4.74,1684,11905,7225,4906,4
36288,"Glamorous Heroes",4.36,488,12125,7478,4476,1
35818,"Love Kome: We Love Rice Nikisaku",4.84,1486,11831,7907,3847,1
36440,"Ku Pao Ying Xiong",5.63,348,10066,8203,3443,6
36166,"Fireball Humorous",5.77,1001,9522,8523,3025,4
36135,"Oretacha Youkai Ningen",None,None,12874,10057,1691,0
35254,"Time Bokan: Gyakushuu no San Akunin",5.89,361,9111,10069,1678,1
36409,"Yodel no Onna",5.41,274,10750,10606,1340,6
39918,"Shining Star",6.51,115,6140,13045,554,4
40089,"Pittanko!! Nekozakana",None,None,13050,13541,444,0
36073,"Aiseki Mogol Girl",None,None,14970,13707,419,1
37752,"Gonglyong Mecard",None,None,15997,14660,327,1
40090,"Sinbi Apateu: Ghost Ball X-ui Tansaeng",None,None,13662,14812,320,3
36740,"Dragon Egg",None,None,15694,15072,283,0
36265,"Sylvanian Families: Mini Story",None,None,13882,15295,269,1
37750,"Turning Mecard W: Vandyne-ui Bimil",None,None,14231,15485,254,0
37749,"Turning Mecard R",None,None,14227,15578,250,0
36486,"Lalala Lala-chan ★Uchuu ni Muchuu★",None,None,17176,15938,226,0
37102,"Xiong Chumo: Tanxian Riji",None,None,14593,16361,205,0
36981,"Neko no Dayan (2017)",None,None,12609,16299,203,0
37951,"Ice Kuritarou",None,None,16443,16756,177,0
37698,"Ukkari Pénélope (2017)",None,None,14278,17433,139,0
49121,"Kkum-ui Wang-gug SofyRuby",None,None,16945,18508,55,0
