mal_id,title,score,scored_by,rank,popularity,members,favorites
16592,"Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation",7.24,469204,2723,150,823615,7644
15451,"High School DxD New",7.5,523308,1654,157,803245,4289
18507,"Free!",7.35,382233,2177,200,710099,9059
11633,"Blood Lad",7.28,321568,2520,247,617361,1900
17074,"Monogatari Series: Second Season",8.78,312060,33,266,593496,21820
16742,"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!",7.01,293038,3813,277,578521,4748
16706,"Kami nomi zo Shiru Sekai: Megami-hen",8.03,174174,524,579,308351,1919
16918,"Gin no Saji",8.09,116065,447,716,260785,2595
14829,"Fate/kaleid liner Prisma☆Illya",7.06,107415,3560,765,244774,963
16009,"Kamisama no Inai Nichiyoubi",7.32,84845,2348,921,204514,837
18119,"Servant x Service",7.65,84218,1199,961,194943,629
16353,"Love Lab",7.33,68756,2271,1013,181238,499
18229,"Gatchaman Crowds",7.3,63105,2429,1053,173517,1196
16732,"Kiniro Mosaic",7.24,61560,2733,1080,169084,857
15605,"Brothers Conflict",6.01,85581,8600,1123,165088,686
17909,"Uchouten Kazoku",7.86,47919,760,1213,151461,1388
16157,"Choujigen Game Neptune The Animation",6.95,53885,3992,1279,141919,1176
17741,"Kimi no Iru Machi",6.87,56375,4356,1308,138246,536
17831,"Inu to Hasami wa Tsukaiyou",6.56,60887,5877,1343,132588,243
16890,"Makai Ouji: Devils and Realist",7.03,38336,3704,1584,107008,386
17389,"Kingdom 2nd Season",8.36,44695,185,1725,95978,727
19383,"Yami Shibai",7.01,41165,3814,1748,93916,272
18041,"Rozen Maiden (2013)",7.34,28808,2221,2076,71306,215
18055,"Hakkenden: Touhou Hakken Ibun 2nd Season",7.63,26894,1234,2360,58386,186
18523,"Senyuu. 2",7.44,31398,1836,2475,53879,103
15793,"Senki Zesshou Symphogear G",7.45,25164,1821,2483,53655,473
17821,"Stella Jogakuin Koutou-ka C³-bu",6.53,19500,6042,2526,51423,71
17651,"Genei wo Kakeru Taiyou",6.4,18016,6718,2538,50696,116
18465,"Genshiken Nidaime",7.44,20835,1857,2627,48124,110
18495,"Kitakubu Katsudou Kiroku",6.78,14452,4776,2673,46527,113
16051,"Ro-Kyu-Bu! SS",7.06,16623,3533,3104,35257,50
18121,"Teekyuu 2",6.71,16541,5107,3464,28569,21
15883,"Fantasista Doll",6.16,8955,7883,3654,25564,16
18099,"Recorder to Randoseru Mi☆",6.65,11490,5408,3971,21419,5
15731,"Tamayura: More Aggressive",7.56,6483,1440,4232,18587,69
17267,"Futari wa Milky Holmes",5.8,3584,9430,5407,10007,12
18771,"Gifuu Doudou!!: Kanetsugu to Keiji",6.45,1841,6420,6090,7533,13
19207,"Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV",5.31,940,11033,8496,3051,2
31427,"Zinba",6.53,470,6016,10612,1332,29
23897,"Lovely Movie: Itoshi no Muco",6.34,258,6984,10697,1286,0
27757,"Anisava",5.59,236,10184,12424,666,0
19305,"Nyuru Nyuru!! Kakusen-kun",None,None,12725,12574,626,1
18983,"Yuuto-kun ga Iku",None,None,14785,15333,264,0
32819,"Xiong Chumo: Conglin Zong Dong Yuan",None,None,14585,15551,252,0
